product_name,image_name,score
Organic Sha Snacks,organic-jowar-500gm-1660385573_thumb,86
Original Pop,bru-original-100gm-1666352207,86
Pacefarm Eggs 700g,farm-fresh-free-range-eggs-700gm-12s1_thumb,86
Palm Corned Beef 326g,palm-corned-beef-326g-1705476038_thumb,90
Panadol Opti 20 tabs,party-ji-round-20-containers-with-lids-250ml_thumb,86
Panjon Swad Digestive Drops 10 pcs,t2s-lite-156-sdm660-4gb-64gb-wifi-eth-10-rear-lcd-1693977813,86
Parachute Coconut Oil 1ltr,parachute-coconut-oil-1ltr-1693377212,95
Parachute Coconut Oil 200 Ml,PARACHUTE_COCONUT_OIL_200ML,98
Parachute Coconut Oil 500ml,PARACHUTE_COCONUT_OIL_200ML,96
Parachute Coconut Oil 550ml,PARACHUTE_COCONUT_OIL_200ML,93
Parachute Hot Hair oil 300ml,PARACHUTE_JASMINE_HAIR_OIL_300ML,88
Parachute Jasmine Oil 190ml,PARACHUTE_JASMINE_HAIR_OIL_190ML,95
Paranjali Sandal Agarbatti 150 gm,poppin-popcorn-tripple-butter-flavor-100-gm-1687227809_thumb,86
Parle G Biscuits 752g,PARLE_G_BISCUITS_376G,90
Parle Hide and Seek Value Pack 412.5G,parle-rusk-600g,86
Parle Krack Jack 400g,PARLE_KRACK_JACK_200G,95
Parle Krackjack Value Pack (60g x 5),parle-krackjack-value-pack-60g-x-5-1708660743,95
Parle Monaco 400gm,parle-monaco-400gm-1693302156_thumb,90
Parle Monaco Value Pack (63.3g X 5),parle-rusk-600g,86
Parle Orange Bite 289g,parle-hide-amp-seek-choc-825gm-1628518436_thumb,86
Parliament Jaljeera 275ml,PARLIAMENT_JALJEERA_275ML2,98
Parliament Low GI Basmati Rice 5 kg,parliament-low-gi-basmati-rice-5kg-1706055547,88
Parsram Moth Beans 1kg,m-m,90
Pattu Coriander Seeds 400 Gm,PATTU_CORIANDER_SEEDS_200G,93
Party ji 7” Plate 40pcs,party-ji-round-20-containers-with-lids-250ml_thumb,86
Party Ji 750ml 5pcs,party-ji-round-20-containers-with-lids-250ml_thumb,86
Party Ji Retail Combo Pack 750ml 20pk,CHINGS_COMBO_PACK_120G,86
Party Ji Retail Combo Pack 250ml(25pcs),MONIKA_LEMON_JUICE_250ML,86
party ji retail combo pack 500ml,party-ji-round-20-containers-with-lids-250ml_thumb,86
Party Ji Retail Pack Combo 1000ml,party-ji-round-20-containers-with-lids-250ml_thumb,86
PARTY JI RETAIL PACK COMBO 450ML 20PCS,FROOTI_SINGLE_PACK_200_ML,86
Party Ji Round Combo Pack 300ml 25 pcs,shahi-parata-w-m-30-pcs,86
Party Snake Toy firework 1.4g,party-ji-round-20-containers-with-lids-250ml_thumb,86
Party Snake Toy Fireworks,party-ji-round-20-containers-with-lids-250ml_thumb,86
Patanjali Aastha Premium Roli 25gm,spicy-vibes-premium-channa-dal-5kg-1666262617_thumb,86
Patanjali Aloevera Face Gel Kesar 150g,PATANJALI_ALOEVERA_GEL_150G,95
Patanjali Aloevera Gel 150g,PATANJALI_ALOEVERA_GEL_150G,100
Patanjali Aloevera Juice Plain 1 L,lemon-1_thumb,86
PATANJALI AMLA KESH TAIL 100ML,patanjali-aloe-vera-gel-150-ml-1687408232_thumb,86
Patanjali Chyawanprash 1 kg,patanjali-chyawanprash-1kg-1659174243_thumb,88
Patanjali Cotton Wicks Aastha KumKum25g,patanjali-cotton-wicks-kum-kum,87
Patanjali Cow Ghee Tin 1ltr,patanjali-cow-ghee-1ltr,95
Patanjali Dant Kanti 200g,PATANJLI_DANT_KANTI_100G,94
PATANJALI DANT KANTI POWER RED 150G,PATANJALI_DANT_KANTI_80G,86
PATANJALI GULKAND 400G,patanjali-gulkand-400g-1700452301,90
Patanjali Herbal Facial Foam Face Wash 6,patanjali-cow-ghee-1ltr,86
Patanjali Herbal Kajal,PATANJALI_HERBAL_KAJAL,100
Patanjali Herbal Mehandi,patanjali-herbal-mehandi-1694164513,95
Patanjali Kesh Kanti Tel 120ml,KESH_KANTI_HAIR_OIL_120ML_PATANJALI,88
Patanjali Mustard Oil 1ltr,patanjali-mustard-oil-1ltr-1695280504,95
Patanjali Pachak Anardana Goli 100g,PATANJALI_PACHAK_ANARDANA_GOLI_100G1,99
Patanjali Pachak Hing Goli 100g,PATANJALI_PACHAK_HING_GOLI_100G1,98
Patanjali Pachak Hing Peda 100g,PATANJALI_PACHAK_HING_PEDA_100G1,98
Patanjali Rice Bran Oil 1l,udaya-kus-c-seeraga-samba-rice-1kg-1674832490,86
Patanjali Rose Agarbatti 150 gm,patanjali-aloe-vera-gel-150-ml-1687408232_thumb,86
PATANJALI VIRGIN COCONUT OIL 250 ML,patanjali-cow-ghee-1ltr,86
Patti Peanut Blanched 250gm,patti-peanut-blanched-250gm-1694765004,95
Pattu Adzuki Beans 1kg,pattu-adzuki-beans-1kg-1703226893_thumb,90
Pattu Ajwain Seeds 100g,pattu-toor-dhall-oilly-1kg-1666095437_thumb,86
Pattu Ajwain Seeds 400g,kozhi-kodens-andhra-mixture-400g-1704343143_thumb,86
Pattu Aniseed star whole 100 gm,poppin-popcorn-tripple-butter-flavor-100-gm-1687227809_thumb,86
Pattu Bi Carb Soda 150g,latas-kitchen-aam-papad-green-150g-1695277785,86
PATTU BIRDS EYE CHILLI POWDER 400G,PATTU_BIRDS_EYE_CHILLI_POWDER_200G,97
Pattu Black Lentils 1kg,pattu-black-letils-1kg-1703559765_thumb,88
Pattu Black Pepper Powder 100g,EASTERN_BLACK_PEPPER_POWDER_100GM,86
Pattu Black Pepper Powder 200g,bolsts-mild-curry-powder-500g-1697441407_thumb,86
Pattu Black Pepper Whole 200g,pattu-black-pepper-whole-200gm-1666498152_thumb,90
Pattu Blue Peas Whole 1kg,pattu-blue-peas-whole-1-kg,98
Pattu Bombay Spread 280g,PATTU_BOMBAY_SANDWICH_SPREAD_280G,95
Pattu Bulgor Coarse 1kg,PATTU_BULGOR_COARSE_1_KG,98
Pattu Cardamom Green 100g,PATTU_CARDAMOM_GREEN_100G,100
Pattu Cardamom Green 200g,PATTU_CARDAMOM_GREEN_100G,96
Pattu Cardamom Powder 100g,pattu-toor-dhall-oilly-1kg-1666095437_thumb,86
Pattu Cardamom Seeds 100g,PATTU_CARDAMOM_GREEN_100G,88
Pattu Cashew Pieces Large 250 g,pattu-cashew-pieces-large-250-g-1694765595,95
Pattu Cashew Pieces Large 500 g,pattu-cashew-pieces-large-500g-1686996483_thumb,89
Pattu Cashew Raw 1 kg,pattu-toor-dhall-oilly-1kg-1666095437_thumb,86
Pattu Channa Dhall 1kg,pattu-channa-dhall-1kg-1703585406_thumb,90
Pattu Chick Peas Kabuli 1kg,pattu-chick-pea-kabuli-1-kg,96
Pattu Chick Peas Tyson 1kg,pattu-chick-peas-tyson-1kg-1703552539,95
Pattu Chilli Powder Kashmiri 200g,PATTU_CHILLI_POWDER_KASHMIRI_200G,100
Pattu Chilli Powder (Premium) 200g,PATTU_RED_CHILLI_POWDER_200G,88
Pattu Chilli Powder Hot 500g,PATTU_CHILLI_POWDER_HOT_500G,100
Pattu Cinnamon Bark 100g,pattu-toor-dhall-oilly-1kg-1666095437_thumb,86
Pattu Citric Acid 150g,latas-kitchen-aam-papad-green-150g-1695277785,86
Pattu Cloves Powder 100g,pattu-toor-dhall-oilly-1kg-1666095437_thumb,86
Pattu Cloves whole 100g,pattu-cloves-whole-50-g,91
PATTU CORIANDER & CUMIN POWDER 200G,coriander,90
Pattu Coriander Powder 100gm,coriander,90
Pattu Coriander Powder 1KG,CORIANDER_POWDER_1KG,95
Pattu Coriander Powder 500g,pattu-coriander-powder-500gm-1659173871_thumb,90
Pattu Coriander Pwd (Premium) 200g,coriander,90
Pattu Coriander Seeds 1 Kg,coriander,90
Pattu Coriander Seeds 100g,PATTU_CORIANDER_SEEDS_200G,96
Pattu Corn Flour 1kg,PATTU_CORN_FLOUR_1KG,100
Pattu Creamy Sella Rice 5kg,udaya-kus-c-seeraga-samba-rice-1kg-1674832490,86
Pattu Cumin Powder (Premium) 200g,pattu-cumin-powder-premium-200-g-1687398233,87
Pattu Cumin Powder 500g,PATTU_CUMIN_POWDER_200G1,94
Pattu Desi All in One 280g,PATTU_DESI_ALL_IN_ONE_CHUTNEY_280G,95
Pattu Desi Chutney 280g,PATTU_DESI_ALL_IN_ONE_CHUTNEY_280G,95
PATTU DESICATED COCONUT FINE 500G,date-pitted-500g_thumb,86
Pattu Fennel Powder 100g,pattu-fennel-powder-100gm-1666000317_thumb,90
Pattu Fennel Seeds 100g,pattu-fennel-seeds-400gm,94
Pattu Fennel Seeds 200g,pattu-fennel-seeds-400gm,94
Pattu Fennel Seeds 400g,pattu-fennel-seeds-400gm,98
Pattu Fenugreek Powder 100g,EASTERN_FENUGREEK_POWDER_100G,86
Pattu Fenugreek Seeds 100g,pattu-fenugreek-seeds-100g-1717836558,95
Pattu Garam Masala 200g,PATTU_GARAM_MASALA_200G,100
Pattu Garlic Crushed Paste 350 g,garlic,90
Pattu Ginger Garlic Crushed 1kg,garlic,90
PATTU GINGERLY OIL 500ML,patanjali-honey-500ml-1704965509_thumb,86
Pattu Green Chilli Chutney 280g,PATTU_GREEN_CHILLI_CHUTNEY_280G,100
Pattu Hot amp Sweet Sauce 500g,PATTU_HOT_amp_SWEET_500G,95
Pattu Kalonji 100 G,pattu-toor-dhall-oilly-1kg-1666095437_thumb,86
PATTU KALONJI 200G,pattu-toor-dhall-oilly-1kg-1666095437_thumb,86
PATTU KASHMIRI CHILLI POWDER 100G,PATTU_CHILLI_POWDER_KASHMIRI_500G,92
Pattu Kewda Water 180ml,pattu-kewda-water-180-ml-1686030293_thumb,86
Pattu Lima Beans 1kg,pattu-lima-beans-1kg-1687400396_thumb,90
Pattu Mango Pulp Alphonso 850g,priya-hot-mango-pickle-wg-300gm-1697002094_thumb,86
Pattu Mango Pulp Kesar 850g,pattu-mango-pulp-kesar-850g-1695021062,95
Pattu Mixed Beans 1kg,pattu-mixed-beans-1kg-1703554563,90
PATTU MIXED PUNJABI DHALL 1 KG,lemon-1_thumb,86
Pattu Mung Beans Berken 1kg,pattu-mung-beans-berken-1-kg-1661227955,87
Pattu Mung Beans Celera 1kg,pattu-mung-beans-celera-1kg-1703575313,95
Pattu Mung Dhall (ind) 1kg,mung-dhall-ind-pattu-1kg_thumb,95
Pattu Mung Masoor Mix 1kg,pattu-mung-masoor-mix-1kg-1703576778,95
Pattu Mung Split (with skin) 1kg,pattu-mung-split-with-skin-1kg-1659093699_thumb,95
Pattu Mustard Seed 100gm,PATTU_MUSTARD_SEEDS_200G,92
Pattu Pakoda Chutney 360g,PATTU_PAKODA_CHUTNEY_360G,100
Pattu Paprika Sweet 200g,pattu-paprika-sweet-200-g-1687408838,88
Pattu Peanut Blanched 500 g,PATTU_PEANUT_BLANCHED_500G,98
Pattu Peanuts Raw Red Small 1kg,amma-hand-pounded-parboiled-rice-mottai-karuppan-1kg-1703739547_thumb,86
Pattu Plain Flour 1kg,pattu-plain-flour-1kg-1703468298,90
Pattu Pop Corn 1kg,PATTU_POP_CORN_1KG1,97
Pattu Poppy Seed White 200 g,pattu-toor-dhall-oilly-1kg-1666095437_thumb,86
Pattu Poppy Seeds Black 200g,pattu-poppy-seed-black-200gm-1666095511_thumb,88
Pattu Poppy Seeds 100g,saras-garam-masala-100g-1677652803,86
Pattu Puffed Rice Surti 400g,kozhi-kodens-andhra-mixture-400g-1704343143_thumb,86
Pattu Red Kidney Beans Dark 1kg,pattu-red-kidney-beans-dark-1kg-1703574436,95
Pattu Red Kidney Beans Light 1kg,pattu-red-kidney-beans-light-1kg-1661226664,95
Pattu Red Split Lentils (Aust) 1kg,pattu-red-split-lentils-1kg-1703577678,87
Pattu Rice Flour Coarse 1 Kg,PATTU_RICE_FLOUR_COARSE_1KG,98
Pattu Samosa Chutney 360g,PATTU_SAMOSA_CHUTNEY_360G,100
Pattu Sego Seeds (Thai) 1kg,udaya-kus-c-seeraga-samba-rice-1kg-1674832490,86
Pattu Sesame Seeds White 250g,pattu-sesame-seeds-white-250-g-1684823360_thumb,88
Pattu Sesame Seeds White 500 g,pattu-sesame-seeds-white-250-g-1684823360,88
Pattu Soya Beans 1kg,pattu-soya-beans-1kg-1695022737_thumb,90
Pattu Soya Granules 200g,pattu-soya-granules-200g-1703477748,95
Pattu Sugar Raw 1kg,tata-tea-premium-1kg-1704842274_thumb,86
Pattu Sugar White 1kg,JK_WHITE_SUGAR_1KG,86
Pattu Tandoori Colour 125g,pattu-tandoori-colour-125-g-1687400059_thumb,88
Pattu Tomato Ketchup 500g,PATTU_TOMATO_KETCHUP_500G,100
Pattu Turmeric Powder (Premium) 200g,pattu-turmeric-powder-premium-200g-1686029653,95
Pattu Turmeric Powder 1kg,PATTU_TURMERIC_POWDER_200G,90
Pattu Urid Dhall White 1kg,pattu-urid-dhall-white-1-kg,98
Pattu Urid Split (with skin) 1kg,pattu-urid-split-with-skin-1kg-1703572763,95
Pattu Urid Whole Black 1kg,pattu-urid-whole-1kg,95
Pattu Urid Whole White 1kg,pattu-urid-whole-1kg,95
Pattu Wheat 1kg,PATTU_WHEAT_1_KG,97
Pattu Yellow Split Peas 1kg,pattu-yellow-split-peas-1kg-1665991338,95
Pears Germshield 125g,pears-1,86
Pears Oil Clear and Glow75g,pears-oil-clear-and-glow75g,100
Pears Soap 150g,latas-kitchen-aam-papad-green-150g-1695277785,86
Pears Soap Pure and Gentle 100g,pears-soap-pure-and-gentle-100g-1693377290,95
Pears Soft and Fresh Soap,fresh-fiji-wild-chilli-1694238703_thumb,86
Pepsodent Germi Check 200 gm,poppin-popcorn-tripple-butter-flavor-100-gm-1687227809_thumb,86
Pillsbury Multigrain Atta 10 kg,PILSBURY_MULTI_GRAIN_ATTA_1KG,93
Pillsbury Chaki Atta 2 kg,PILSBURY_CHAKKI_ATTA_1KG,90
Pillsbury Chakki Atta 10 Kg,PILSBURY_CHAKKI_ATTA_1KG,94
Pillsbury Chakki Atta 1kg,PILSBURY_CHAKKI_ATTA_1KG,98
Pillsbury Chakki Atta 5kg,PILSBURY_CHAKKI_ATTA_1KG,94
Pillsbury Gold Atta 10kg,pilsbury-gold-atta-10-kg,96
Pillsbury Gold Atta 1kg,pilsbury-gold-atta-10-kg,94
Pillsbury Gold Atta 5kg,pilsbury-gold-atta-10-kg,89
Pillsbury Roti 30 pcs,karan-roti-paratha-30pcs-1659334553,86
Pillsbury Tawa Chapati 30pc,tawa-chapati-30pc-pillsbury,95
Playing Cards,playing-cards,100
Ponds Charcoal Facewash 100 gm,poppin-popcorn-tripple-butter-flavor-100-gm-1687227809_thumb,86
Ponds Dream Flower Powder 400gm,kozhikoden-malabar-mixture-400gm-1660202776_thumb,86
Ponds Face Wash 100 ml,sharma-mango-lassi-350-ml-1659008999,86
PONTIAC COCONUT SUGAR 500GMS,mehar-coconut-biscuit-500gm-1660381286_thumb,86
PONTIAC PALM SUGAR 500GMS,saurbhi-sugar-coated-fennel-1697428127,86
Power Board 4 way 1 Mtr Cord 1pc,lemon-1_thumb,86
Powerade Assorted Flavour 1on4 Elec,powerade-assorted-flavour-1on4-electrolytes-600ml-1694662641_thumb,90
Priya Curry Leaf Powder 100g,red-ruby-onion-vadam-100g-1703651825_thumb,86
Priya Garlic Pickle 300 gm,garlic,90
Priya Hot Lime Pickle 300g,priya-hot-lime-pickle-300g-1697002134,95
Priya Hot Mango Pickle W.G 300gm,priya-hot-mango-pickle-wg-300gm-1697002094,89
Priya Idli Karam 100g,saras-garam-masala-100g-1677652803,86
Priya Idli Ravva 1kg,priya-idli-rava-1kg-1641545713,88
Priya Idli Rice 5kg,udaya-kus-c-seeraga-samba-rice-1kg-1674832490,86
Priya Kandi Podi 100g,saras-garam-masala-100g-1677652803,86
Priya Kura Karam100g,priya-hot-mango-pickle-wg-300gm-1697002094_thumb,86
Priya Mango Ginger Pickle 300 gm,mango-bar-green_thumb,86
Priya Mango Pickle Avakaya 300 g,PRIYA_PICKLE_MANGO_AVAKAYA_300G,93
Priya Mango Pickle AvakayaExtra Hot 300g,PRIYA_CUT_MANGO_PICKLE_300G,87
Priya Mixed Vegetable Pickle 300g,deep-hot-lime-pickle,86
Priya Nalla Karam 100g,saras-garam-masala-100g-1677652803,86
Priya Nuvvula Podi 100g,red-ruby-onion-vadam-100g-1703651825_thumb,86
Priya Pulihora Paste 300 gm,PRIYA_PULIHORA_PASTE_300G,96
Priya Tamarind Paste 300g,PRIYA_TAMARIND_PASTE_300G,100
Priya Vada Mix 500 gm,saurbhi-handva-mix-flour-1lbs-1694766257_thumb,86
Priya Verusenaga Podi 100g,red-ruby-onion-vadam-100g-1703651825_thumb,86
GD Kulcha Plain ,lijat-papad-plain-200gm-1660293287_thumb,86
Pure Newzealand Ghee 1.6 l,PURE_NEWZEALAND_GHEE_5LTR,86
Pure Newzealand Ghee 400ml,PURE_NEWZELAND_GHEE_500ML,94
Pure Newzealand Ghee 800 ml,PURE_NEWZELAND_GHEE_500ML,92
Fresh Dabeli 1 Pc,fresh-fiji-wild-chilli-1694238703,86
Rajnigandhi Tin,nestle-nestomalt-tin-400g-1674792987,86
Rara Noodles 30pcs,maggi-noodles-420gm-1658986736,86
Ravalgaon Pan Pasand 500 g,pattu-cloves-whole-50-g-1686029858_thumb,86
Real Juice mosambi,dabur-guava-juice-1-ltr-1659006910_thumb,86
Red Label Nature Care Tea 500g,red-label-nature-care-500gm,91
Redbull Energy Drink 250ml,redbull-energy-drink-250ml-1694666354,95
Redheads Safety Matchbox 10 Boxes Pack,t2s-lite-156-sdm660-4gb-64gb-wifi-eth-10-rear-lcd-1693977813,86
Remano Bowties,m-m,86
Remano Spaghetti,m-m,86
Resusable White Spoons 50pcs,magsafe-case-for-iphone-15-pro-max-white-colour,86
Rin Bar 250g,rin-bar-250gm-1666167307,90
Rin Washing Powder 1kg,rin-washing-powder-1kg-1703817432,90
Ring Guard,ring-guard,100
Roohafza 750 ml,roohafza-750ml-1666172651_thumb,87
